terminalName,name,city,state,GeoPoint,nbDocks,Median Age,Male Population,Female Population,Total Population,Average Household Size,mean duration,total count,total % member,median duration member,median duration casual,most frequent station,second most frequent station,third most frequent station,monday count,monday % member,tuesday count,tuesday % member,wednesday count,wednesday % member,thursday count,thursday % member,friday count,friday % member,saturday count,saturday % member,sunday count,sunday % member,09h-17h count,09h-17h % member,00h-03h count,00h-03h % member,03h-06h count,03h-06h % member,06h-09h count,06h-09h % member,09h-12h count,09h-12h % member,12h-15h count,12h-15h % member,15h-18h count,15h-18h % member,18h-21h count,18h-21h % member,21h-00h count,21h-00h % member,jan count,jan % member,feb count,feb % member,mar count,mar % member,apr count,apr % member,may count,may % member,jun count,jun % member,jul count,jul % member,aug count,aug % member,sep count,sep % member,oct count,oct % member,nov count,nov % member,dec count,dec % member,cluster_labels
31011,Crystal Dr & 23rd St S,Arlington,Virginia,POINT(-77.0498 38.8533),16.0,34.4,113981.0,115183.0,229164.0,2.19,1053.4562903611577,16724.0,77.86414733317389,356.0,1492.0,31007.0,31008.0,31052.0,2445.0,83.14928425357873,2767.0,86.33899530177086,2799.0,85.56627366916757,2696.0,84.38427299703264,2424.0,80.4042904290429,1866.0,54.340836012861736,1727.0,55.99305153445281,8148.0,74.95090819833088,164.0,56.09756097560976,52.0,78.84615384615384,1414.0,88.40169731258841,1992.0,69.42771084337349,2794.0,70.72297780959198,5566.0,83.59683794466403,3801.0,80.47882136279927,941.0,60.36131774707758,651.0,87.71121351766512,753.0,86.05577689243027,1254.0,77.35247208931419,1737.0,73.11456534254461,1541.0,77.80661907852044,1892.0,75.05285412262154,1955.0,72.53196930946292,1852.0,76.24190064794817,1589.0,75.89679043423537,1605.0,78.38006230529595,1128.0,85.46099290780141,767.0,89.43937418513691,cluster_4
31012,Clark St & 26th St S,Arlington,Virginia,POINT(-77.05152 38.850688),10.0,34.4,113981.0,115183.0,229164.0,2.19,771.7358462455304,6712.0,89.06436233611444,301.0,1380.5,31007.0,31003.0,31002.0,1183.0,91.80050718512257,1230.0,94.5528455284553,1364.0,94.0615835777126,1234.0,94.57050243111831,1056.0,89.48863636363636,317.0,49.526813880126184,328.0,53.963414634146346,3324.0,86.76293622141998,29.0,82.75862068965517,19.0,89.47368421052632,768.0,92.70833333333334,883.0,81.08720271800681,838.0,80.07159904534606,2988.0,94.44444444444444,1058.0,88.1852551984877,129.0,64.34108527131785,308.0,96.1038961038961,346.0,95.37572254335258,551.0,91.83303085299455,684.0,85.08771929824562,633.0,86.41390205371248,650.0,84.92307692307692,660.0,82.72727272727273,669.0,86.99551569506725,598.0,89.63210702341135,685.0,89.1970802919708,528.0,95.6439393939394,400.0,96.25,cluster_4
31100,19th St & Pennsylvania Ave NW,Washington,District of Columbia,POINT(-77.0429 38.9003),15.0,33.8,319705.0,352523.0,672228.0,2.24,1084.896276595745,28952.0,77.44888090632772,591.0,1418.0,31237.0,31246.0,31229.0,4634.0,80.77255071212775,4855.0,87.33264675592173,4943.0,88.67084766336231,5030.0,87.45526838966205,4839.0,80.32651374250878,2295.0,38.387799564270146,2356.0,37.77589134125637,12659.0,65.83458409037047,382.0,73.03664921465969,42.0,76.19047619047619,1344.0,89.95535714285714,3476.0,55.23590333716916,5268.0,67.33105542900532,9634.0,83.61013078679677,6809.0,86.63533558525482,1997.0,74.21131697546319,1433.0,90.71877180739708,1682.0,88.58501783590964,2345.0,80.17057569296375,2763.0,72.05935577271082,2747.0,71.4233709501274,2855.0,75.90192644483362,2762.0,70.31136857349748,2943.0,73.59836901121305,2848.0,75.98314606741573,2856.0,75.45518207282912,2111.0,83.94126006631926,1607.0,89.23459863098942,cluster_4
31101,14th & V St NW,Washington,District of Columbia,POINT(-77.032096 38.917764500000004),28.0,33.8,319705.0,352523.0,672228.0,2.24,756.0288649282945,103967.0,90.3575172891398,514.0,1096.0,31200.0,31116.0,31201.0,12996.0,92.98245614035088,14115.0,94.14806942968474,14503.0,94.5873267599807,13840.0,94.1184971098266,14189.0,92.43780393262386,17324.0,83.5950126991457,17000.0,83.68823529411766,40155.0,86.58697547005355,4181.0,84.35780913657021,1334.0,88.98050974512743,19601.0,97.43380439773482,12024.0,88.12375249500998,16970.0,84.90276959340012,18638.0,89.17802339306793,20756.0,92.3732896511852,10463.0,89.19048074166109,5664.0,95.05649717514125,5633.0,94.24818036570214,7594.0,92.17803529101923,9557.0,88.46918489065607,10046.0,89.37885725661955,10611.0,88.63443596268023,10744.0,86.92293373045419,10718.0,88.50531815637245,10323.0,89.4507410636443,9753.0,90.60801804572952,7392.0,92.93831168831169,5932.0,95.14497639919081,cluster_5
31102,11th & Kenyon St NW,Washington,District of Columbia,POINT(-77.027822 38.929464),27.0,33.8,319705.0,352523.0,672228.0,2.24,865.1304101476824,54712.0,92.48793683287029,714.0,1038.0,31101.0,31200.0,31229.0,6705.0,93.52721849366144,7251.0,94.46972831333609,7859.0,94.91029393052551,7718.0,94.48043534594454,8329.0,93.2284788089807,8514.0,88.45431054733379,8336.0,89.17946257197697,16902.0,89.48645130753758,2296.0,84.97386759581882,645.0,94.57364341085272,15419.0,97.3085154679292,6415.0,89.9610288386594,6296.0,88.05590851334179,7148.0,91.5500839395635,10195.0,92.22167729279059,6298.0,91.71165449349002,3132.0,96.55172413793105,3195.0,95.24256651017214,4375.0,93.55428571428571,5071.0,91.30349043581148,5473.0,91.08350082221816,5447.0,91.42647328804848,5387.0,89.6788565064043,5407.0,92.25078601812466,5043.0,91.47332936744002,4948.0,92.86580436540017,3947.0,93.41271852039525,3287.0,95.31487678734408,cluster_0
31103,16th & Harvard St NW,Washington,District of Columbia,POINT(-77.036536 38.926088),33.0,33.8,319705.0,352523.0,672228.0,2.24,739.2680665753921,60623.0,93.16596011414808,543.0,1044.0,31121.0,31200.0,31104.0,7792.0,94.60985626283369,8577.0,94.89331934242743,9046.0,94.9480433340703,9073.0,95.15044637936735,9168.0,93.71727748691099,8354.0,89.4541536988269,8613.0,89.19075815627541,21797.0,89.54443272009908,1355.0,90.33210332103322,934.0,85.11777301927195,17565.0,97.58610873896956,9334.0,90.77565888150845,7478.0,87.4030489435678,8579.0,92.05035551929129,10421.0,93.82017080894349,4957.0,93.54448254992941,3834.0,95.56598852373502,3928.0,95.82484725050915,4941.0,94.77838494231938,5804.0,92.50516884906959,5973.0,91.99732127908923,5795.0,92.3899913718723,5616.0,91.11467236467236,5699.0,91.64765748376908,5358.0,92.21724524076149,5307.0,92.9903900508762,4481.0,93.70676188350815,3887.0,96.11525598147672,cluster_0
31104,Adams Mill & Columbia Rd NW,Washington,District of Columbia,POINT(-77.04258100000001 38.922925),14.0,33.8,319705.0,352523.0,672228.0,2.24,760.7998172759848,70051.0,89.53333999514639,483.0,1117.0,31121.0,31200.0,31107.0,8680.0,90.49539170506912,9856.0,92.07589285714286,10018.0,91.51527250948291,9622.0,92.4236125545625,9927.0,91.50800846177091,11208.0,85.09100642398288,10740.0,84.79515828677839,26002.0,86.1279901546035,2936.0,84.19618528610354,1090.0,90.6422018348624,10868.0,96.66912035333088,9451.0,87.52512961591366,9873.0,84.5031905195989,11579.0,88.25459884273252,15505.0,91.0415994840374,8749.0,89.18733569550805,4025.0,95.90062111801242,4258.0,94.3400657585721,5653.0,92.03962497788784,6822.0,86.92465552623864,6958.0,88.3012359873527,6781.0,88.68898392567469,6671.0,86.10403237895369,6804.0,87.66901822457379,6571.0,87.27743113681326,6337.0,89.08000631213508,5036.0,90.8856235107228,4135.0,93.95405078597342,cluster_0
31105,14th & Harvard St NW,Washington,District of Columbia,POINT(-77.0322 38.9268),19.0,33.8,319705.0,352523.0,672228.0,2.24,730.6507196710077,43770.0,93.66004112405756,544.0,1020.0,31101.0,31121.0,31104.0,5767.0,94.57256805964971,6401.0,95.18825183565069,6342.0,95.7111321349732,6521.0,95.12344732403005,6258.0,94.85458612975391,6431.0,90.15705178043852,6050.0,89.93388429752066,16012.0,90.69447914064452,888.0,89.41441441441441,452.0,94.69026548672565,10147.0,97.49679708288164,5968.0,90.70040214477213,5889.0,89.1832229580574,6957.0,93.7329308610033,9094.0,94.50186936441612,4375.0,93.71428571428572,2701.0,96.51980747871158,2726.0,96.73514306676451,3728.0,94.74248927038627,4486.0,92.08649130628622,4404.0,92.91553133514986,4343.0,92.7239235551462,4324.0,92.73820536540241,4022.0,93.23719542516163,3959.0,92.80121242738063,3812.0,93.1532004197272,2887.0,94.49255282299966,2378.0,94.86963835155592,cluster_0
31106,Calvert & Biltmore St NW,Washington,District of Columbia,POINT(-77.047637 38.923203),22.0,33.8,319705.0,352523.0,672228.0,2.24,1027.8509477577436,21630.0,83.666204345816,632.0,1465.0,31121.0,31200.0,31104.0,2940.0,85.78231292517006,3230.0,89.38080495356037,3249.0,89.50446291166513,3304.0,87.77239709443099,3143.0,86.31880369074133,2871.0,72.90142807384187,2893.0,71.69028689941237,8640.0,74.22453703703705,263.0,68.44106463878326,239.0,89.95815899581591,5715.0,95.10061242344707,3474.0,77.89291882556131,3325.0,69.14285714285714,3307.0,80.64711218627154,4164.0,87.80019212295868,1143.0,82.1522309711286,1013.0,91.31293188548864,1135.0,90.30837004405286,1597.0,88.29054477144646,2062.0,82.92919495635306,2205.0,82.53968253968253,2192.0,82.2536496350365,2246.0,77.91629563668745,2309.0,82.15677782589866,2050.0,83.70731707317074,1944.0,80.8127572016461,1644.0,83.02919708029195,1233.0,89.61881589618817,cluster_4
31107,Lamont & Mt Pleasant NW,Washington,District of Columbia,POINT(-77.0388 38.9319),19.0,33.8,319705.0,352523.0,672228.0,2.24,861.0003182903263,43985.0,92.43605774695921,670.0,1008.0,31104.0,31200.0,31602.0,5317.0,93.6054165883017,6058.0,94.43710795642126,6501.0,93.60098446392864,6405.0,94.09836065573772,6757.0,93.2366434808347,6595.0,89.47687642153144,6352.0,88.90113350125944,15652.0,90.41017122412472,895.0,89.83240223463687,749.0,91.58878504672896,11481.0,96.2721017332985,6157.0,90.23875263927236,5602.0,89.70010710460551,6576.0,91.49939172749392,8449.0,91.85702449994082,4076.0,92.14916584887145,2669.0,96.25327838141628,2776.0,95.06484149855908,3698.0,93.75338020551649,4158.0,90.62049062049064,4299.0,91.30030239590604,4224.0,91.2405303030303,4011.0,90.37646472201445,4232.0,91.23345935727787,4030.0,92.45657568238215,3976.0,91.87625754527164,3215.0,93.34370139968895,2697.0,95.29106414534668,cluster_0
